cdl_code,land_cover
0,undefined
1,corn
2,cotton
3,rice
4,sorghum
21,barley
23,spring_wheat
24,winter_wheat
27,rye
28,oats
33,safflower
36,alfalfa
37,other_hay_non_alfalfa
42,dry_beans
44,other_crops
48,watermelons
49,onions
54,tomatoes
57,herbs
59,sod_grass_seed
61,fallow_idle_cropland
66,cherries
67,peaches
69,grapes
71,other_tree_crops
72,citrus
74,pecans
75,almonds
76,walnuts
77,pears
111,open_water
121,developed_open_space
122,developed_low_intensity
123,developed_medium_intensity
124,developed_high_intensity
131,barren
142,forest
152,shrubland
176,grass_pasture
190,woody_wetlands
195,herbaceous_wetlands
204,pistachios
205,triticale
206,carrots
208,garlic
209,cantaloupes
211,olives
212,oranges
213,honeydew_melons
216,peppers
217,pomegranates
218,nectarines
220,plums
225,dbl_crop_winwht_corn
226,dbl_crop_oats_corn
227,lettuce
236,dbl_crop_winwht_sorghum
237,dbl_crop_barley_corn
238,dbl_crop_winwht_cotton
242,blueberries
